品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
东风裕隆,纳智捷,2013.01-2014 - 1.8T,豹王 Tora ￥28.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,"大7 MPV
- 2013.05-2014 - 2.0T",,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,"大7SUV2.2T
- 2011.01-2014 - 2.2T",豹王 Tora ￥28.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
