品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
克莱斯勒(进口),300C,2012.01-2014 - 3.6L,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,2004.09-2014 - 3.5L,曼牌 Mann ￥59.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,2006.02-2014 - 6.1L,曼牌 Mann ￥59.0,,,美孚 美孚1号 0W-40 ￥644.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥275.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,2004.09-2014 - 5.7L,曼牌 Mann ￥59.0,,,美孚 美孚1号 0W-40 ￥644.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥275.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,2004.09-2014 - 2.7L,曼牌 Mann ￥59.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,2005.09-2014 - 3.0L,曼牌 Mann ￥61.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,Crossfire,2003.09-2014 - 3.2L,汉格斯特 Hengst ￥68.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥77.0,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,PT Cruiser 漫步者,2001.11-2014 - 1.6L,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2000.06-2014 - 2.0L,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2005.08-2014 - 2.2L,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2003.08-2014 - 2.4L,马勒 ￥26.0,,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥59.0,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,铂锐,2001.04-2014 - 2.4L,MOPAR ￥104.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2001.04-2014 - 2.7L,曼牌 Mann ￥59.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2001.04-2014 - 2.0L,MOPAR ￥104.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,大捷龙 Voyager,2012.10-2015 - 3.6L,,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥189.0,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,2004.06-2014 - 2.8L,汉格斯特 Hengst ￥49.0,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2005.08-2014 - 2.5L,汉格斯特 Hengst ￥49.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,"大捷龙
- 2000.02-2014 - 3.3L",曼牌 Mann ￥59.0,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
