品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
讴歌（进口）,MDX,2010.06-2013.06 - 3.7L,马勒 ￥29.0,三效空调滤清器 ￥79.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,TL,2009.01-2014.06 - 3.5L,马勒 ￥29.0,三效空调滤清器 ￥79.0,,美孚 美孚1号 0W-40 ￥368.0
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
