品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
奔驰(北京),E级系列,"E200K (W211)
- 2005.11-2014 - 2.0L",汉格斯特 Hengst ￥86.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥129.0,美孚 美孚1号 0W-40 ￥552.0
,,,汉格斯特 Hengst ￥56.0,,曼牌 Mann ￥169.0,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,曼牌 Mann ￥88.0,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,"E200K (W211)
- 2006.09-2014 - 2.0L",汉格斯特 Hengst ￥86.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥129.0,美孚 美孚1号 0W-40 ￥552.0
,,,汉格斯特 Hengst ￥56.0,,曼牌 Mann ￥169.0,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,曼牌 Mann ￥88.0,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,"E230 (W211)
- 2005.11-2014 - 2.5L",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥149.0,美孚 美孚1号 0W-40 ￥736.0
,,,曼牌 Mann ￥77.0,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,"E280 (W211)
- 2005.11-2014 - 3.0L",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥149.0,美孚 美孚1号 0W-40 ￥736.0
,,,曼牌 Mann ￥77.0,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,"E300L (W212)
- 2010.12-2014 - 3.0L",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥149.0,美孚 美孚1号 0W-40 ￥736.0
,,,曼牌 Mann ￥77.0,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,"E350(W211)
- 2005.11-2014 - 3.5L",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥149.0,美孚 美孚1号 0W-40 ￥736.0
,,,曼牌 Mann ￥77.0,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,"E260L CGI
- 2010.06-2014 - 1.8T",汉格斯特 Hengst ￥86.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥109.6,美孚 美孚1号 0W-40 ￥552.0
