品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
奔驰(进口),CITAN Kombi,"（W636）
- 2013-2014 - 3.0L",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥736.0
,,,,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,唯雅诺 Vinao,"W639
- 2006-2011 - 3.2L",,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥920.0
,,,,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥992.0
,,,,,,嘉实多 极护 SN 0W-40 ￥964.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥672.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥1092.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥1076.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥602.0
,CLA系列,"CLA180
- 2013.3-2015 - 1.6T",汉格斯特 Hengst ￥152.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥329.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥161.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,"CLA200
- 2013.3-2015 - 1.6T",汉格斯特 Hengst ￥152.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥329.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥161.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,"CLA250
- 2013.3-2015 - 2.0T",汉格斯特 Hengst ￥152.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥329.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥161.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,GLA系列,"GLA250
- 2014.3-2015 - 2.0T",汉格斯特 Hengst ￥152.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥329.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥161.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,"GLA200 (156.943)
- 2013.9-2015 - 1.6T",汉格斯特 Hengst ￥152.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥329.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥161.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,A级,"A150(W169)
- 2004.09-2014 - 1.5L",曼牌 Mann ￥84.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥102.0,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥160.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"A160(W169)
- 2009.04-2014 - 1.5L",曼牌 Mann ￥84.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥102.0,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥160.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"A170(W169)
- 2004.09-2014 - 1.7L",曼牌 Mann ￥84.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥102.0,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥160.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"A180(W169)
- 2009.04-2014 - 1.7L",曼牌 Mann ￥84.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥102.0,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥160.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"A 180 BlueEFFICIENCY (W176)
- 2013.04-2014 - 1.7L",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥118.0,美孚 美孚1号 0W-40 ￥552.0
,,,汉格斯特 Hengst ￥152.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥329.0,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,曼牌 Mann ￥161.0,,,嘉实多 极护 SN 0W-40 ￥588.0
