品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
英菲尼迪(进口),Q,"70
- 2011.4-2014 - 2.5L",汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥79.0,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥28.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,EX,"37 V6 (J50)
- 2010.09-2014 - 3.7L",汉格斯特 Hengst ￥24.0,,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥28.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,"25 V6 (J50)
- 2010.01-2014 - 2.5L",汉格斯特 Hengst ￥24.0,,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥28.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,M,"35
- 2005-2010 - 3.5L",,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,G,2009.09-2012.01 - 2.5L,汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥28.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,"35
- 2007-2009 - 3.5L",马勒 ￥25.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,G37-Sedan [G37-三厢],2013-2014 - 3.7L,曼牌 Mann ￥28.0,三效空调滤清器 ￥119.0,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,FX,"35
- 2003.01-2014 - 3.5L",汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥119.0,马勒 ￥36.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥28.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,QX,2011.01-2014 - 5.6L,汉格斯特 Hengst ￥24.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥736.0
,,,曼牌 Mann ￥28.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥598.0
,,"70
- 2011.1-2012 - 3.5L",,,马勒 ￥55.0,美孚 美孚1号 0W-40 ￥460.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,"50
- 2013.09-2014 - 2.5L",马勒 ￥25.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,汉格斯特 Hengst ￥24.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥28.0,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,"70 (FX37)
- 2013.03-2015 - 3.7L",马勒 ￥25.0,三效空调滤清器 ￥119.0,马勒 ￥55.0,美孚 美孚1号 0W-40 ￥460.0
,,,汉格斯特 Hengst ￥24.0,四效空调滤清器 ￥189.0,汉格斯特 Hengst ￥60.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥28.0,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
