品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
路虎(进口),发现3,2004.10-2009.12 - 4.4,,,,美孚 美孚1号 0W-40 ￥736.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥598.0
,,2004.10-2014 - 4.4 V8,曼牌 Mann ￥109.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥119.0,美孚 美孚1号 0W-40 ￥736.0
,,,,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥598.0
,发现4,2009.09-2014 - 5.0 V8,,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2009.09-2014 - 4.0 V6,马勒 ￥26.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥119.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥59.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
