品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
长丰汽车,猎豹,2003.01-2014 - 3.0L,马勒 ￥25.0,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,马勒 ￥17.0,,,嘉实多 金嘉护 SN 10W-40 ￥262.0
,,,汉格斯特 Hengst ￥27.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,汉格斯特 Hengst ￥25.0,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,,曼牌 Mann ￥24.0,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,"CT5
- 2010.01-2014 - 2.0L",马勒 ￥25.0,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥27.0,,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
