品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
标致(东风),3008,2013.01-2014 - 1.6T,马勒 ￥29.0,三效空调滤清器 ￥119.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2013.01-2014 - 2.0L,马勒 ￥29.0,三效空调滤清器 ￥119.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,301,2013.11-2014 - 1.6L,马勒 ￥29.0,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,曼牌 Mann ￥45.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,2008,2014.04-2015 - 1.6L,汉格斯特 Hengst ￥44.0,,,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,曼牌 Mann ￥45.0,,,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,206,2006.07-2009.02 - 1.4L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2006.01-2009.02 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥29.0,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥45.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,207,2009.03-2014 - 1.4L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2009.03-2014 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,307,2004.08-2008.01 - 1.6L,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥49.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
