品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
捷豹（进口）,XF,"5.0 V8 Kompressor
- 06/09->",,,,美孚 美孚1号 0W-40 ￥0.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥0.0
,,,,,,嘉实多 极护 SN 0W-40 ￥0.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥0.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥0.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥0.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥0.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥0.0
,,"5.0 V8
- 06/09->",,,,美孚 美孚1号 0W-40 ￥0.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥0.0
,,,,,,嘉实多 极护 SN 0W-40 ￥0.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥0.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥0.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥0.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥0.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥0.0
,,"4.2 V8 Kompressor
- 03/08->",曼牌 Mann ￥109.0,,,美孚 美孚1号 0W-40 ￥0.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥0.0
,,,,,,嘉实多 极护 SN 0W-40 ￥0.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥0.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥0.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥0.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥0.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥0.0
,,"4.2 V8
- 03/08->",曼牌 Mann ￥109.0,,,美孚 美孚1号 0W-40 ￥0.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥0.0
,,,,,,嘉实多 极护 SN 0W-40 ￥0.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥0.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥0.0
