品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
道奇(进口),锋哲,2007.6-2011 - 2.4L,AC德科 ￥62.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2007.06-2014 - 2.0,,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,酷搏,2006.07-2014 - 2.0 16V,豹王 Tora ￥23.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2011-2013 - 2.0L,AC德科 ￥62.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,酷威,2012.1-2015 - 3.6L,汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,2008.06-2014 - 2.7 V6,MOPAR ￥104.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥226.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,2013.01-2014 - 2.4L,MOPAR ￥104.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,
大宇雪佛兰(进口),雅典,2000.07-2014 - 2.0L,,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,Nubira,2003.07-2014 - 1.6 16V (KLAN),马勒 ￥19.0,三效空调滤清器 ￥49.0,马勒 ￥29.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
