品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
大众(一汽),高尔夫7,2013.12-2014 - 1.4T,马勒 ￥20.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,曼牌 Mann ￥56.0,四效空调滤清器 ￥89.0,曼牌 Mann ￥69.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,CC,2014-2015 - 2.0T,曼牌 Mann ￥89.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥99.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,2010.07-2014 - 1.8 TSI,马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,2010.07-2014 - 2.0 TSI,马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,2012.04-2014 - 3.0 FSI,,三效空调滤清器 ￥79.0,曼牌 Mann ￥134.0,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,美孚 美孚1号 0W-40 ￥644.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,宝来,2010.06-2014 - 1.4 TSI,马勒 ￥49.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥60.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥54.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥80.0,,汉格斯特 Hengst ￥27.0,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,曼牌 Mann ￥43.0,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2002.07-2004.10 - 1.6L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥27.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,冠军 ￥48.0,,汉格斯特 Hengst ￥54.0,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,曼牌 Mann ￥43.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2004.10-2008.09 - 1.6L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥27.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,冠军 ￥48.0,,汉格斯特 Hengst ￥54.0,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,曼牌 Mann ￥43.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2010.06-2012.12 - 1.6L,马勒 ￥49.0,三效空调滤清器 ￥49.0,马勒 ￥45.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥60.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥50.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥80.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2008.11-2010.06 - 1.6L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥54.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,,,汉格斯特 Hengst ￥27.0,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,曼牌 Mann ￥43.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2001.12-2006.12 - 1.8L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥54.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,冠军 ￥48.0,,汉格斯特 Hengst ￥27.0,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,曼牌 Mann ￥43.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2001.12-2006.12 - 1.8T,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥27.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,冠军 ￥48.0,,汉格斯特 Hengst ￥54.0,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,曼牌 Mann ￥43.0,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2008.11-2010.12 - 2.0L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥54.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,冠军 ￥48.0,,汉格斯特 Hengst ￥27.0,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,曼牌 Mann ￥43.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,"2013款
- 2013.01-2015 - 1.6L",马勒 ￥49.0,三效空调滤清器 ￥49.0,马勒 ￥45.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥60.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥50.0,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥80.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,宝来GP,2006.07-2008.12 - 1.6L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥54.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,冠军 ￥48.0,,汉格斯特 Hengst ￥27.0,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,曼牌 Mann ￥43.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2006.07-2008.12 - 1.8L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥54.0,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,冠军 ￥48.0,,汉格斯特 Hengst ￥27.0,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,曼牌 Mann ￥43.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
