品牌,车系,排量与年份,机滤,空调滤,空气滤,机油,,,
奥迪(一汽),Q3,2013.10-2015 - 1.4 TFSI,马勒 ￥20.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥69.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,,
,,,,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥368.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,,
,,"2.0TFSI
- 2012-2014 - 2.0TFSI",马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,A3,2014.3-2015 - 1.4 TFSI,马勒 ￥49.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥43.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,,
,,,曼牌 Mann ￥80.0,,,美孚 美孚1号 0W-40 ￥368.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,,
,,2014.3-2015 - 1.8 TFSI,马勒 ￥59.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥43.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,,,,美孚 美孚1号 0W-40 ￥460.0,,,
