品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
大众(进口),迈腾,2007.01-2014 - 3.2L,汉格斯特 Hengst ￥54.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥134.0,壳牌 蓝喜力HX7 5W-40 ￥428.0
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0
,,,,,,美孚 美孚1号 0W-40 ￥644.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,"旅行版
- 2012-2014 - 2.0TSI",马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 蓝喜力HX7 5W-40 ￥282.0
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,Routan,2008.9-2010.12 - 3.8L,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,Eos,2008.05-2014 - 1.4 TSI,马勒 ￥49.0,三效空调滤清器 ￥79.0,汉格斯特 Hengst ￥67.0,壳牌 蓝喜力HX7 5W-40 ￥209.0
,,,马勒 ￥30.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥89.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,汉格斯特 Hengst ￥60.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,曼牌 Mann ￥80.0,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2010.07-2014 - 1.4 TSI,马勒 ￥49.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 蓝喜力HX7 5W-40 ￥209.0
,,,,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,曼牌 Mann ￥99.0,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2008.05-2010.06 - 1.4 TSI,马勒 ￥49.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 蓝喜力HX7 5W-40 ￥209.0
,,,汉格斯特 Hengst ￥60.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥80.0,,曼牌 Mann ￥99.0,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2006.06-2014 - 1.6 FSI,马勒 ￥30.0,三效空调滤清器 ￥79.0,,壳牌 蓝喜力HX7 5W-40 ￥209.0
,,,汉格斯特 Hengst ￥37.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2006.06-2014 - 3.2 V6,汉格斯特 Hengst ￥54.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥134.0,美孚 美孚1号 0W-40 ￥644.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0
,,2006.03-2014 - 2.0 FSI,马勒 ￥50.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥89.0,美孚 美孚1号 0W-40 ￥460.0
,,,汉格斯特 Hengst ￥56.0,四效空调滤清器 ￥129.0,,嘉实多 极护 SN 0W-40 ￥482.0
,,,曼牌 Mann ￥89.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0
,,2009.11-2014 - 2.0 TFSI,马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,美孚 美孚1号 0W-40 ￥460.0
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,嘉实多 极护 SN 0W-40 ￥482.0
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0
,高尔夫,1997.08-2005.06 - 1.4L,马勒 ￥26.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥209.0
,,,,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2008.10-2014 - 1.4L,马勒 ￥26.0,三效空调滤清器 ￥79.0,马勒 ￥45.0,壳牌 蓝喜力HX7 5W-40 ￥209.0
,,,,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥50.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2000.08-2005.06 - 1.6L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 蓝喜力HX7 5W-40 ￥282.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,曼牌 Mann ￥43.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,冠军 ￥48.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,2008.10-2014 - 1.6L,马勒 ￥26.0,三效空调滤清器 ￥79.0,汉格斯特 Hengst ￥67.0,壳牌 蓝喜力HX7 5W-40 ￥282.0
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥89.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
