品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
雪铁龙(进口),C4,2004.11-2014 - 2.0 16V WT (VTS),汉格斯特 Hengst ￥42.0,三效空调滤清器 ￥49.0,马勒 ￥49.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,曼牌 Mann ￥78.0,四效空调滤清器 ￥89.0,曼牌 Mann ￥149.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2008.07-2014 - 1.6 16V VTi 120,马勒 ￥29.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2004.11-2014 - 2.0 16V,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2008.07-2014 - 1.6 16V THP 1,马勒 ￥29.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2008.07-2014 - 1.6 16V THP 14,马勒 ￥29.0,三效空调滤清器 ￥49.0,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2004.11-2014 - 1.6 16V,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,2004.11-2014 - 1.4 16V,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,C4Aircross,2012.04-2014 - 2.0i,马勒 ￥17.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥213.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥25.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,C4毕加索,2006.10-2014 - 2.0 16V,马勒 ￥29.0,三效空调滤清器 ￥119.0,马勒 ￥33.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
