品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
宝马(华晨),3系,"318i(E46)
- 2004.06-2005.06 - 2.0L",汉格斯特 Hengst ￥61.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥125.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥229.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"318i(E90)
- 2009.01-2012.06 - 2.0L",汉格斯特 Hengst ￥61.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥110.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥113.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"320i(F30)
- 2012.07-2014 - 2.0L",曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥269.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"320i(E90)
- 2010.01-2012.06 - 2.0L",汉格斯特 Hengst ￥61.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥110.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥113.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"320Li(F35)
- 2012.07-2014 - 2.0L",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥269.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"320i(E90)
- 2005.06-2007.08 - 2.0L",汉格斯特 Hengst ￥61.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥110.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥113.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"320i(E90)
- 2008.05-2010.01 - 2.0L",汉格斯特 Hengst ￥61.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥110.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥113.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"325i(E46)
- 2005.06-2012.09 - 2.5L",汉格斯特 Hengst ￥34.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥88.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥49.0,,曼牌 Mann ￥99.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,"325i(E46)
- 2003.07-2005.06 - 2.5L",汉格斯特 Hengst ￥34.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥88.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥49.0,,曼牌 Mann ￥99.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,"325i(E90)
- 2005.06-2012.06 - 2.5L",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥264.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,"328Li(F35)
- 2012.07-2014 - 2.0T",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥269.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"328i(F30)
- 2012.07-2014 - 2.0T",曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥269.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"335Li(F35)
- 2012.07-2014 - 3.0L",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥269.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,5系,"525li(F18)
- 2013.09-2014 - 2.0T",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥89.0,,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,"525li(F18)
- 2012.08-2014 - 2.0T",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥175.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥269.0,曼牌 Mann ￥168.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,"520Li (F18)
- 2013.01-2014 - 2.0T",曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥168.0,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥269.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"520Li(E60)
- 2009.06-2010.09 - 2.0L",汉格斯特 Hengst ￥61.0,三效空调滤清器 ￥179.0,曼牌 Mann ￥145.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,"525Li(E60)
- 2007.01-2010.04 - 2.5L",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥179.0,汉格斯特 Hengst ￥110.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥155.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,"525i(E60)
- 2004.04-2006.02 - 2.5L",汉格斯特 Hengst ￥34.0,三效空调滤清器 ￥179.0,曼牌 Mann ￥155.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥49.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥782.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥794.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥447.0
,,"525i(E60)
- 2003.03-2007.12 - 2.5L",汉格斯特 Hengst ￥58.0,三效空调滤清器 ￥179.0,曼牌 Mann ￥155.0,美孚 美孚1号 0W-40 ￥644.0
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0
