品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
斯柯达（进口）,速派,2001.12-2008.3 - 1.8T,曼牌 Mann ￥119.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥52.0,美孚 美孚1号 0W-40 ￥460.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,速尊 Superb Combi,2014.4-2015 - 2.0T,曼牌 Mann ￥89.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥99.0,美孚 美孚1号 0W-40 ￥460.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,明锐Octavia,1999.4-2007.5 - 2.0L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥34.0,美孚 美孚1号 0W-40 ￥460.0
,,,汉格斯特 Hengst ￥49.0,,汉格斯特 Hengst ￥27.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,曼牌 Mann ￥43.0,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
