品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
长安汽车,CX20,2013.10-2015 - 1.4L,汉格斯特 Hengst ￥16.0,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2011-2014 - 1.3L,马勒 ￥29.0,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,CX30,2010-2014 - 2.0L,,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2010-2014 - 2.0L,马勒 ￥26.0,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,汉格斯特 Hengst ￥44.0,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,曼牌 Mann ￥58.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,2010-2012 - 1.6L,曼牌 Mann ￥45.0,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,长安之星2,2009.01-2014 - 1.3L,马勒 ￥29.0,,豹王 Tora ￥27.0,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,,,GPC（国产） ￥30.0,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,,2009.01-2014 - 1.0L,马勒 ￥29.0,,豹王 Tora ￥27.0,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,汉格斯特 Hengst ￥16.0,,GPC（国产） ￥30.0,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,曼牌 Mann ￥23.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,逸动,2012-2014 - 1.6L,马勒 ￥30.0,三效空调滤清器 ￥49.0,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,四效空调滤清器 ￥89.0,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,金牛星,2010.01-2014 - 1.3L,,,,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
