品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
雪佛兰(进口),Camaro [科迈罗],2011.1-2015 - 3.6,马勒 ￥30.0,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,斯帕可,2010.12-2013 - 1.0L,汉格斯特 Hengst ￥16.0,,,美孚 美孚1号 0W-40 ￥368.0
,,,曼牌 Mann ￥23.0,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,科帕奇,2006.06-2014 - 2.4,马勒 ￥39.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥95.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥39.0,四效空调滤清器 ￥89.0,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2006.6-2014 - 2.4L,,三效空调滤清器 ￥79.0,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
