品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
江淮汽车,和悦RS,2009.10-2014 - 1.8L,马勒 ￥17.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,悦悦,2010-2013 - 1.0 L,马勒 ￥17.0,,,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,瑞风S3,2014.10-2015 - 1.5L,马勒 ￥17.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥128.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥152.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,宾悦,2007.09-2014 - 2.4L,马勒 ￥25.0,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥27.0,,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2007.09-2014 - 2.0L,马勒 ￥25.0,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥27.0,,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,和悦,2009.06-2014 - 1.5L,马勒 ￥17.0,,马勒 ￥29.0,壳牌 黄喜力HX5 10W-40 ￥147.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥165.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥138.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥219.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥264.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥348.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥264.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥354.0
,,,,,,美孚 美孚1号 0W-40 ￥276.0
,,,,,,嘉实多 极护 SN 0W-40 ￥318.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥384.0
,瑞风,2007-20014 - 2.4L,马勒 ￥18.0,,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
