品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
标致(进口),3008,2010.12-2014 - 1.6 THP,马勒 ￥29.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥368.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,206,2000.09-2014 - 1.6 16V,马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,汉格斯特 Hengst ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,美孚 美孚1号 0W-40 ￥368.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,2000.09-2014 - 2.0L,马勒 ￥25.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥139.0,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥42.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥78.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,207,2007.02-2014 - 1.6 16V Turbo,马勒 ￥29.0,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥44.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,308,"SW
- 2009.10-2014 - 1.6T",马勒 ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥35.0,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,汉格斯特 Hengst ￥44.0,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,曼牌 Mann ￥45.0,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
