品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
奔驰(福建),威霆,2010.01-2014 - 2.5L,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥118.0,美孚 美孚1号 0W-40 ￥736.0
,,,曼牌 Mann ￥77.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
,唯雅诺,2010.01-2014 - 2.5L,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥118.0,美孚 美孚1号 0W-40 ￥736.0
,,,曼牌 Mann ￥77.0,四效空调滤清器 ￥189.0,,壳牌 灰喜力ULTRA 5W-40 ￥760.0
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥856.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥820.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥456.0
