品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
沃尔沃(进口),V60,2010.7-2014 - 2.0T,曼牌 Mann ￥110.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥189.0,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,"T5
- 2010.01-2013.12 - 2.0L",汉格斯特 Hengst ￥76.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥122.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥110.0,四效空调滤清器 ￥189.0,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,V40,"T4
- 2013.7-2015 - 2.0T",曼牌 Mann ￥110.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥122.0,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥89.0,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,C30,2007.03-2014 - 2.5 T5,曼牌 Mann ￥110.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥94.0,美孚 美孚1号 0W-40 ￥552.0
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥122.0,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2006.10-2014 - 2.5 T5,汉格斯特 Hengst ￥76.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥94.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥110.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥122.0,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2006.10-2014 - 2.4,汉格斯特 Hengst ￥76.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥94.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥110.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥122.0,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥475.0
,,2006.10-2014 - 1.6,汉格斯特 Hengst ￥44.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥69.0,美孚 美孚1号 0W-40 ￥368.0
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,C70,2006.03-2014 - 2.5 T5,汉格斯特 Hengst ￥76.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥94.0,美孚 美孚1号 0W-40 ￥552.0
,,,曼牌 Mann ￥110.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥122.0,嘉实多 极护 SN 0W-40 ￥588.0
