品牌,车系,排量与年份,机滤,空调滤,空气滤,机油,,
奥迪（进口）,A8L,2012.02-2014 - 2.0L,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,,,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2010.11-2014 - 3.0 TFSI,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,曼牌 Mann ￥95.0,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2012.09-2014 - 4.0TFSI,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥760.0,,
,,,,,,美孚 美孚1号 0W-40 ￥736.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥656.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥736.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥418.0,,
,,2012.09-2014 - 4.2 FSI,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥876.0,,
,,,,,,美孚 美孚1号 0W-40 ￥828.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥858.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥584.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥736.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥831.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥491.0,,
,,2012.07-2014 - 2.5FSI,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,S6,2012.04-2014 - 4.0TFSI,,三效空调滤清器 ￥119.0,曼牌 Mann ￥159.0,壳牌 灰喜力ULTRA 5W-40 ￥992.0,,
,,,,,,美孚 美孚1号 0W-40 ￥920.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥964.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥672.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥816.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥926.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥564.0,,
,S5,"Sportback
- 2009-2012 - 3.0 TFSI",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥644.0,,
