品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
福特(长安),翼虎,"Kuga
- 2012.11-2014 - 1.6T",汉格斯特 Hengst ￥44.0,三效空调滤清器 ￥79.0,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,"Kuga
- 2012.11-2014 - 2.0T",汉格斯特 Hengst ￥44.0,三效空调滤清器 ￥79.0,,壳牌 蓝喜力HX7 5W-40 ￥374.0
,,,,四效空调滤清器 ￥89.0,,壳牌 灰喜力ULTRA 5W-40 ￥612.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0
,,,,,,美孚 美孚1号 0W-40 ￥552.0
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥664.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥666.0
,福克斯,2005.09-2008.08 - 1.8L,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥49.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,曼牌 Mann ￥58.0,四效空调滤清器 ￥129.0,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
