品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
雷克萨斯(进口),ES,2012-2014 - 2.5L,,三效空调滤清器 ￥49.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,2006.06-2008.06 - 3.5L,马勒 ￥40.0,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,"240
- 2009.01-2014 - 2.4L",汉格斯特 Hengst ￥29.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥69.0,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,"250
- 2012.7-2014 - 2.5L",汉格斯特 Hengst ￥21.0,三效空调滤清器 ￥49.0,马勒 ￥33.0,美孚 美孚1号 0W-40 ￥368.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥428.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥410.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥228.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥299.0
,CT,"200hF-Sport(ZWA10)
- 2012.03-2014 - 1.8L",,三效空调滤清器 ￥49.0,,美孚 美孚1号 0W-40 ￥460.0
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,"200h(ZWA10)
- 2011.03-2014 - 1.8L",,三效空调滤清器 ￥49.0,,美孚 美孚1号 0W-40 ￥460.0
